Name,Movement,Rarity,Type,Special Ability,Attack Wheel Size,Attack Name,Attack Type,Attack Value,Attack Ability,is Gen 1
Skorupi,2,UC,Poison / Bug,Irritating Sting - Any Psychic-type Pokémon that battles this Pokémon will become confused.,28,Poison Sting,Purple,The battle opponent becomes poisoned.,☆,False
Skorupi,2,UC,Poison / Bug,Irritating Sting - Any Psychic-type Pokémon that battles this Pokémon will become confused.,8,Miss,Red,,,False
Skorupi,2,UC,Poison / Bug,Irritating Sting - Any Psychic-type Pokémon that battles this Pokémon will become confused.,24,Protect,Blue,This Pokémon gains Wait,,False
Onix,2,R,Rock / Ground,None,8,Protect,Blue,This Pokémon gains Wait,,True
Onix,2,R,Rock / Ground,None,56,Rock Slide,White,All neigbour Pokémon spin - those that miss are knocked out,80,True
Onix,2,R,Rock / Ground,None,4,Miss,Red,,,True
Onix,2,R,Rock / Ground,None,28,Dig,Purple,This Pokémon moves away from any Pokémon attached to it.,☆☆,True
Gible,1,UC,Dragon / Ground,"Raid - Instead of using an MP move, this Pokémon can move to within 3 spaces of an opponent's Pokémon",20,Scary Face,Purple,The battle opponent is knocked 1 step back (the opponent chooses the point) and gains Wait.,☆,False
Gible,1,UC,Dragon / Ground,"Raid - Instead of using an MP move, this Pokémon can move to within 3 spaces of an opponent's Pokémon",44,Slash,White,,80,False
Gible,1,UC,Dragon / Ground,"Raid - Instead of using an MP move, this Pokémon can move to within 3 spaces of an opponent's Pokémon",20,Scary Face,Purple,The battle opponent is knocked 1 step back (the opponent chooses the point) and gains Wait.,☆,False
Gible,1,UC,Dragon / Ground,"Raid - Instead of using an MP move, this Pokémon can move to within 3 spaces of an opponent's Pokémon",12,Miss,Red,,,False
Pancham,3,UC,Fighting,"Arm Thrust Evolution - If this Pokémon spins Arm Thrust three or more times in a battle, it may evolve after the battle",40,Arm Thrust,White,"Spin again until Arm Thrust does not land - damage is multiplied by the number of Arm Thrust spins. If the number of attacks spun was 2 or more, this Pokémon cannot be knocked out",30x,False
Pancham,3,UC,Fighting,"Arm Thrust Evolution - If this Pokémon spins Arm Thrust three or more times in a battle, it may evolve after the battle",20,Karate Chop,White,,50,False
Pancham,3,UC,Fighting,"Arm Thrust Evolution - If this Pokémon spins Arm Thrust three or more times in a battle, it may evolve after the battle",28,Parting Shot,Purple,This Pokémon may switch with a Pokémon on your bench. The battle opponent now has Wait.,☆☆,False
Pancham,3,UC,Fighting,"Arm Thrust Evolution - If this Pokémon spins Arm Thrust three or more times in a battle, it may evolve after the battle",8,Miss,Red,,,False
Quilladin,2,UC,Grass,None,4,Miss,Red,,,False
Quilladin,2,UC,Grass,None,20,Needle Arm,White,The battle opponent gains Wait,50,False
Quilladin,2,UC,Grass,None,32,Mud Shot,White,Attach MP-1 marker to the battle opponent.,40,False
Quilladin,2,UC,Grass,None,20,Needle Arm,White,The battle opponent gains Wait,60,False
Quilladin,2,UC,Grass,None,20,Protect,Blue,This Pokémon gains Wait,,False
Graveler,1,C,Rock / Ground,None,8,Miss,Red,,,True
Graveler,1,C,Rock / Ground,None,40,Rollout,White,Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins,40x,True
Graveler,1,C,Rock / Ground,None,8,Miss,Red,,,True
Graveler,1,C,Rock / Ground,None,40,Landslide,Purple,The battle opponent is knocked 1 step back and gains Wait,☆,True
Koffing,2,C,Poison,None,8,Miss,Red,,,True
Koffing,2,C,Poison,None,44,Smog,Purple,The battle opponent is poisoned.,☆,True
Koffing,2,C,Poison,None,4,Miss,Red,,,True
Koffing,2,C,Poison,None,40,Sludge,White,"If this Pokémon is knocked out, the battle opponent becomes poisoned",30,True
Gastly,3,R,Ghost / Poison,"Gaseous Form - This Pokémon cannot surround the opponent's Pokémon, and cannot be surrounded itself. It can also move through other Pokémon when making an MP move",32,Destiny Bond,White,"If this Pokémon is knocked out, so is the battle opponent",0,True
Gastly,3,R,Ghost / Poison,"Gaseous Form - This Pokémon cannot surround the opponent's Pokémon, and cannot be surrounded itself. It can also move through other Pokémon when making an MP move",48,Astonish,White,,20,True
Gastly,3,R,Ghost / Poison,"Gaseous Form - This Pokémon cannot surround the opponent's Pokémon, and cannot be surrounded itself. It can also move through other Pokémon when making an MP move",16,Miss,Red,,,True
Hoothoot,2,UC,Normal / Flying,Insomnia - This Pokémon cannot be affected by sleep,28,Peck,White,,40,False
Hoothoot,2,UC,Normal / Flying,Insomnia - This Pokémon cannot be affected by sleep,32,Hypnosis,Purple,The battle opponent falls asleep,☆☆,False
Hoothoot,2,UC,Normal / Flying,Insomnia - This Pokémon cannot be affected by sleep,28,Peck,White,,40,False
Hoothoot,2,UC,Normal / Flying,Insomnia - This Pokémon cannot be affected by sleep,8,Miss,Red,,,False
Metapod,0,UC,Bug,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve.",68,Harden,White,"If the battle opponent spins an Attack of 100 damage or less, this Pokémon is not knocked out. While this Pokémon is on the field, the Attacks of this Pokémon, other than Harden, deal +10 damage",0,True
Metapod,0,UC,Bug,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve.",24,Tackle,White,,10,True
Metapod,0,UC,Bug,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve.",4,Miss,Red,,,True
Shelgon,1,C,Dragon,None,4,Miss,Red,,,False
Shelgon,1,C,Dragon,None,24,Flamethrower,White,The battle opponent is now burned.,90,False
Shelgon,1,C,Dragon,None,4,Miss,Red,,,False
Shelgon,1,C,Dragon,None,64,Conceal,White,"If the damage inflicted onto this Pokémon is 100 or less, this Pokémon does not faint.",10,False
Tentacool,2,UC,Water / Poison,Form Herd - The 3-Pokémon limit does not apply to this Pokémon,8,Miss,Red,,,True
Tentacool,2,UC,Water / Poison,Form Herd - The 3-Pokémon limit does not apply to this Pokémon,52,Tentacle Barrage,White,"This move's damage is boosted by the number of Pokémon on the field that know moves that can cause Poison or Toxic status effect, plus 10.
If this Pokémon faints, the battle opponent will become Poisoned",40,True
Tentacool,2,UC,Water / Poison,Form Herd - The 3-Pokémon limit does not apply to this Pokémon,4,Miss,Red,,,True
Tentacool,2,UC,Water / Poison,Form Herd - The 3-Pokémon limit does not apply to this Pokémon,32,Poison Sting,Purple,The battle opponent becomes poisoned.,☆,True
Pichu,3,UC,Electric,Open Circuit - Any Water-type Pokémon that battles this Pokémon will become Paralyzed,4,Dodge,Blue,,,False
Pichu,3,UC,Electric,Open Circuit - Any Water-type Pokémon that battles this Pokémon will become Paralyzed,60,Thunder Shock,White,,40,False
Pichu,3,UC,Electric,Open Circuit - Any Water-type Pokémon that battles this Pokémon will become Paralyzed,32,Miss,Red,,,False
Monferno,2,C,Fire / Fighting,None,12,Miss,Red,,,False
Monferno,2,C,Fire / Fighting,None,40,Fury Swipes,White,Spin again until Fury Swipes does not land - damage is multiplied by the number of Fury Swipes spins,40,False
Monferno,2,C,Fire / Fighting,None,12,Dodge,Blue,,,False
Monferno,2,C,Fire / Fighting,None,32,Mid-Air Strike,White,Opponent Pokémon is pushed back one space. This Pokémon gains Wait,60,False
Grotle,2,C,Grass,Foundation - Your Pokémon may move over this Pokémon,4,Miss,Red,,,False
Grotle,2,C,Grass,Foundation - Your Pokémon may move over this Pokémon,28,Tackle,White,,40,False
Grotle,2,C,Grass,Foundation - Your Pokémon may move over this Pokémon,4,Miss,Red,,,False
Grotle,2,C,Grass,Foundation - Your Pokémon may move over this Pokémon,28,Bite,White,,50,False
Grotle,2,C,Grass,Foundation - Your Pokémon may move over this Pokémon,4,Miss,Red,,,False
Grotle,2,C,Grass,Foundation - Your Pokémon may move over this Pokémon,28,Withdraw,Blue,This Pokémon gains Wait,,False
Wartortle,2,C,Water,None,4,Miss,Red,,,True
Wartortle,2,C,Water,None,8,Dodge,Blue,,,True
Wartortle,2,C,Water,None,40,Water Gun,White,,40,True
Wartortle,2,C,Water,None,8,Dodge,Blue,,,True
Wartortle,2,C,Water,None,36,Rapid Spin,White,Spin again until Rapid Spin does not land - damage is multiplied by the number of Rapid Spin spins,20x,True
Gyarados,1,R,Water / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",8,Miss,Red,,,True
Gyarados,1,R,Water / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",52,Hyper Beam,White,"If the battle opponent is knocked out, the next turn will always be the other player's",110,True
Gyarados,1,R,Water / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",8,Miss,Red,,,True
Gyarados,1,R,Water / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",28,Storm,Purple,All neighbour Pokémon are moved to the bench and gain Wait.,☆,True
Frogadier,2,UC,Water,None,8,Miss,Red,,,False
Frogadier,2,UC,Water,None,32,Water Gun,White,,50,False
Frogadier,2,UC,Water,None,32,Toxic Spikes,Purple,The battle opponent becomes poisoned. This Pokémon retreats one step,☆☆,False
Frogadier,2,UC,Water,None,4,Miss,Red,,,False
Frogadier,2,UC,Water,None,20,Dodge,Blue,,,False
Prinplup,2,C,Water,Dive Entry - This Pokémon can move one additional space on the board when moving from the bench,8,Miss,Red,,,False
Prinplup,2,C,Water,Dive Entry - This Pokémon can move one additional space on the board when moving from the bench,24,Hydro Pump,White,,70,False
Prinplup,2,C,Water,Dive Entry - This Pokémon can move one additional space on the board when moving from the bench,8,Miss,Red,,,False
Prinplup,2,C,Water,Dive Entry - This Pokémon can move one additional space on the board when moving from the bench,56,Metal Claw,White,,40,False
Swellow,2,UC,Normal / Flying,"Guts - If this Pokémon has a special condition, it deals +50 damage",24,Quick Attack,Gold,,30,False
Swellow,2,UC,Normal / Flying,"Guts - If this Pokémon has a special condition, it deals +50 damage",4,Miss,Red,,,False
Swellow,2,UC,Normal / Flying,"Guts - If this Pokémon has a special condition, it deals +50 damage",24,Fly,Purple,This Pokémon jumps over the battle opponent and lands 1-2 steps away,☆☆☆,False
Swellow,2,UC,Normal / Flying,"Guts - If this Pokémon has a special condition, it deals +50 damage",44,Aerial Ace,White,,50,False
Swampert,1,EX,Water / Ground,"Mud Coating - When this Pokémon is on the field, if there are 3 or more Wster-type Pokémon on the field, your Ground-type  Pokémon with MP1 or lower get +1MP",36,Hammer Arm,White,This Pokémon gains Wait,150,False
Swampert,1,EX,Water / Ground,"Mud Coating - When this Pokémon is on the field, if there are 3 or more Wster-type Pokémon on the field, your Ground-type  Pokémon with MP1 or lower get +1MP",28,Tractor,Blue,"You may knock this Pokémon 1 step back and move the battle opponent to this Pokémon's previous location. If you do, the battle opponent gains Wait.",,False
Swampert,1,EX,Water / Ground,"Mud Coating - When this Pokémon is on the field, if there are 3 or more Wster-type Pokémon on the field, your Ground-type  Pokémon with MP1 or lower get +1MP",20,Ice Punch,White,"If this Pokémon is knocked out, the battle opponent becomes frozen",80,False
Swampert,1,EX,Water / Ground,"Mud Coating - When this Pokémon is on the field, if there are 3 or more Wster-type Pokémon on the field, your Ground-type  Pokémon with MP1 or lower get +1MP",12,Miss,Red,,,False
Flaaffy,2,UC,Electric,"Electric Fur - If this Pokémon is not affected by a special condition, all of the Blue-Attacks of non-Ground-type battle opponents of this Pokémon become Misses. This Pokémon cannot be Paralyzed",36,Thunder Wave,Purple,The battle opponent becomes paralyzed.,☆☆,False
Flaaffy,2,UC,Electric,"Electric Fur - If this Pokémon is not affected by a special condition, all of the Blue-Attacks of non-Ground-type battle opponents of this Pokémon become Misses. This Pokémon cannot be Paralyzed",48,Thunder Punch,White,"If this Pokémon is knocked out, the battle opponent becomes Paralyzed.",40,False
Flaaffy,2,UC,Electric,"Electric Fur - If this Pokémon is not affected by a special condition, all of the Blue-Attacks of non-Ground-type battle opponents of this Pokémon become Misses. This Pokémon cannot be Paralyzed",12,Miss,Red,,,False
Greninja,3,EX,Water / Dark,None,4,Miss,Red,,,False
Greninja,3,EX,Water / Dark,None,28,Dodge,Blue,,,False
Greninja,3,EX,Water / Dark,None,20,Hydro Pump,White,,70,False
Greninja,3,EX,Water / Dark,None,4,Miss,Red,,,False
Greninja,3,EX,Water / Dark,None,40,Water Shuriken,Gold,"Spin again until Water Shuriken attack does not land - damage is multiplied by the number of Water Shuriken Attack spins. An opponent next to the target spins, and if it spins a Purple Attack, then it is knocked out",40x,False
Electivire,2,EX,Electric,Ace - This Pokémon can't be Paralyzed,8,Miss,Red,,,False
Electivire,2,EX,Electric,Ace - This Pokémon can't be Paralyzed,32,Electric Blast,Purple,All Pokémon adjacent to the opponent Pokémon are Paralysed,☆☆,False
Electivire,2,EX,Electric,Ace - This Pokémon can't be Paralyzed,8,Miss,Red,,,False
Electivire,2,EX,Electric,Ace - This Pokémon can't be Paralyzed,48,Thunder Punch,White,"If this Pokémon is knocked out when it uses this attack, the battle opponent becomes paralyzed.",130,False
Rhydon,1,UC,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,12,Miss,Red,,,True
Rhydon,1,UC,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,28,Horn Drill,Purple,The battle opponent is Knocked Out,☆,True
Rhydon,1,UC,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,8,Miss,Red,,,True
Rhydon,1,UC,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,48,Stomp,White,,100,True
Flygon,2,R,Ground / Dragon,"Sand Blizzard - Your opponent's Fly Away effects are nullified. When this Pokémon is on the field and has evolved, the Soar effects of Pokémon on the field are nullified",4,Miss,Red,,,False
Flygon,2,R,Ground / Dragon,"Sand Blizzard - Your opponent's Fly Away effects are nullified. When this Pokémon is on the field and has evolved, the Soar effects of Pokémon on the field are nullified",16,Dragon Claw,White,,100,False
Flygon,2,R,Ground / Dragon,"Sand Blizzard - Your opponent's Fly Away effects are nullified. When this Pokémon is on the field and has evolved, the Soar effects of Pokémon on the field are nullified",28,Draco Meteor,Purple,"One other Pokémon on the field spins - if they spin a miss or a white attack of 70 damage or more, they are knocked out",☆,False
Flygon,2,R,Ground / Dragon,"Sand Blizzard - Your opponent's Fly Away effects are nullified. When this Pokémon is on the field and has evolved, the Soar effects of Pokémon on the field are nullified",16,Dragon Claw,White,,100,False
Flygon,2,R,Ground / Dragon,"Sand Blizzard - Your opponent's Fly Away effects are nullified. When this Pokémon is on the field and has evolved, the Soar effects of Pokémon on the field are nullified",4,Miss,Red,,,False
Flygon,2,R,Ground / Dragon,"Sand Blizzard - Your opponent's Fly Away effects are nullified. When this Pokémon is on the field and has evolved, the Soar effects of Pokémon on the field are nullified",28,Fly Away,Purple,This Pokémon jumps over the battle opponent and lands on a surrounding point,☆☆☆,False
Purrloin,3,UC,Dark,None,32,Fury Swipes,White,Spin again until Fury Swipes does not land - damage is multiplied by the number of Fury Swipes spins,30x,False
Purrloin,3,UC,Dark,None,24,Taunt,Purple,"If this Pokémon or the opponent Pokémon spins purple, they must respin for that turn.",☆☆,False
Purrloin,3,UC,Dark,None,32,Scratch,White,,30,False
Purrloin,3,UC,Dark,None,8,Miss,Red,,,False
Ledian,2,UC,Bug / Flying,"Swarm - Instead of an MP move, this Pokémon may move on of your Ledian or Ledyba on the field next to itself. If there are no opposing Pokémon at any of your entry points, you may move one of your Ledian or Ledyba on the bench next to this Pokémon. In either case, your turn ends",4,Miss,Red,,,False
Ledian,2,UC,Bug / Flying,"Swarm - Instead of an MP move, this Pokémon may move on of your Ledian or Ledyba on the field next to itself. If there are no opposing Pokémon at any of your entry points, you may move one of your Ledian or Ledyba on the bench next to this Pokémon. In either case, your turn ends",24,Air Slash,White,The battle opponent gains Wait,50,False
Ledian,2,UC,Bug / Flying,"Swarm - Instead of an MP move, this Pokémon may move on of your Ledian or Ledyba on the field next to itself. If there are no opposing Pokémon at any of your entry points, you may move one of your Ledian or Ledyba on the bench next to this Pokémon. In either case, your turn ends",16,Double-Edge,Purple,This Pokémon and the battle opponent are knocked out,☆☆,False
Ledian,2,UC,Bug / Flying,"Swarm - Instead of an MP move, this Pokémon may move on of your Ledian or Ledyba on the field next to itself. If there are no opposing Pokémon at any of your entry points, you may move one of your Ledian or Ledyba on the bench next to this Pokémon. In either case, your turn ends",24,Mach Punch,Gold,,30,False
Ledian,2,UC,Bug / Flying,"Swarm - Instead of an MP move, this Pokémon may move on of your Ledian or Ledyba on the field next to itself. If there are no opposing Pokémon at any of your entry points, you may move one of your Ledian or Ledyba on the bench next to this Pokémon. In either case, your turn ends",28,Light Screen,Purple,,☆☆☆,False
Sylveon,2,R,Fairy,Purity Veil - Your opponent's Dark-type Pokémon will do -20 damage,8,Miss,Red,,,False
Sylveon,2,R,Fairy,Purity Veil - Your opponent's Dark-type Pokémon will do -20 damage,44,Round,White,Damage is multiplied by the number of your own Pokémon on the field that also have Round,30x,False
Sylveon,2,R,Fairy,Purity Veil - Your opponent's Dark-type Pokémon will do -20 damage,24,Moonblast,White,,50,False
Sylveon,2,R,Fairy,Purity Veil - Your opponent's Dark-type Pokémon will do -20 damage,20,Dodge,Blue,,,False
Pupitar,3,UC,Rock / Ground,Beat Down - All the Blue Attacks of the battle opponents of this Pokémon become Misses,4,Miss,Red,,,False
Pupitar,3,UC,Rock / Ground,Beat Down - All the Blue Attacks of the battle opponents of this Pokémon become Misses,64,Thrash,White,This Pokémon becomes confused,50,False
Pupitar,3,UC,Rock / Ground,Beat Down - All the Blue Attacks of the battle opponents of this Pokémon become Misses,16,Bite,White,,20,False
Pupitar,3,UC,Rock / Ground,Beat Down - All the Blue Attacks of the battle opponents of this Pokémon become Misses,12,Protect,Blue,This Pokémon gains Wait,,False
Igglybuff,2,UC,Normal / Fairy,"Balloon Body - If a Pokémon finishes an MP move next to this Pokémon, this Pokémon moves 1 space away.",8,Miss,Red,,,False
Igglybuff,2,UC,Normal / Fairy,"Balloon Body - If a Pokémon finishes an MP move next to this Pokémon, this Pokémon moves 1 space away.",40,Sing,Purple,The battle opponent falls asleep,☆,False
Igglybuff,2,UC,Normal / Fairy,"Balloon Body - If a Pokémon finishes an MP move next to this Pokémon, this Pokémon moves 1 space away.",48,Pound,White,,30,False
Leafeon,2,R,Grass,Thicket Slip - This Pokémon can MP Move past Grass-type Pokémon on the field.,8,Miss,Red,,,False
Leafeon,2,R,Grass,Thicket Slip - This Pokémon can MP Move past Grass-type Pokémon on the field.,20,Dodge,Blue,,,False
Leafeon,2,R,Grass,Thicket Slip - This Pokémon can MP Move past Grass-type Pokémon on the field.,40,Razor Leaf,White,,40,False
Leafeon,2,R,Grass,Thicket Slip - This Pokémon can MP Move past Grass-type Pokémon on the field.,28,Grass Whistle,Purple,The battle opponent falls asleep,☆,False
Croconaw,2,C,Water,Biting Movement - This Pokémon can always attack after moving,28,Scary Face,Purple,The opponent is moved 1 step behind this Pokémon The battle opponent gains Wait,☆,False
Croconaw,2,C,Water,Biting Movement - This Pokémon can always attack after moving,20,Miss,Red,,,False
Croconaw,2,C,Water,Biting Movement - This Pokémon can always attack after moving,48,Bite,White,,80,False
Munchlax,2,R,Normal,"Gluttony - When in the P.C., this Pokémon will move back to the bench if Sweet Scent is spun on the field",8,Miss,Red,,,False
Munchlax,2,R,Normal,"Gluttony - When in the P.C., this Pokémon will move back to the bench if Sweet Scent is spun on the field",48,Lick,White,"If this Pokémon is knocked out, the battle opponent becomes paralyzed",50,False
Munchlax,2,R,Normal,"Gluttony - When in the P.C., this Pokémon will move back to the bench if Sweet Scent is spun on the field",8,Miss,Red,,,False
Munchlax,2,R,Normal,"Gluttony - When in the P.C., this Pokémon will move back to the bench if Sweet Scent is spun on the field",32,Eats Anything,Purple,"Switches one of the opponent's plates from unused to used. When this Pokémon (or a Pokémon that evolved from this Pokémon) leaves the field, return as many plates as were switched to be used with this Attack since this Pokémon entered the field back to unused",☆,False
Makuhita,2,UC,Fighting,None,28,Fake Out,Purple,This Pokémon switches places with its battle opponent,☆☆☆,False
Bronzor,2,UC,Steel / Psychic,Refraction - Friendly Pokémon next to this Pokémon cannot be affected by any new status effects,4,Miss,Red,,,False
Bronzor,2,UC,Steel / Psychic,Refraction - Friendly Pokémon next to this Pokémon cannot be affected by any new status effects,24,Extrasensory,White,,70,False
Bronzor,2,UC,Steel / Psychic,Refraction - Friendly Pokémon next to this Pokémon cannot be affected by any new status effects,20,Confuse Ray,Purple,The battle opponent becomes confused.,☆☆☆,False
Bronzor,2,UC,Steel / Psychic,Refraction - Friendly Pokémon next to this Pokémon cannot be affected by any new status effects,48,Heavy Slam,White,"If the battle opponent has MP3 or more, this Pokémon will not get damanged and will knock out the battle opponent",20,False
Golbat,2,UC,Poison / Flying,None,28,Leech Life,White,,30,True
Golbat,2,UC,Poison / Flying,None,24,Bite,White,,60,True
Golbat,2,UC,Poison / Flying,None,24,Confuse Ray,Purple,,☆☆☆,True
Golbat,2,UC,Poison / Flying,None,20,Miss,Red,,,True
Rhyperior,1,EX,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,28,Rock Wrecker,Purple,"Knock out 1 of your opponent's Flying-type Pokémon within 2 steps. (When using the Long Barrel plate: ""Knock out 1 of your opponent's Fire, Ice, Flying or Bug-type Pokémon that are 2 or 3 steps away.)",☆☆,False
Rhyperior,1,EX,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,4,Miss,Red,,,False
Rhyperior,1,EX,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,28,Bulldozer,Blue,This Pokémon knocks the battle opponent one step back and claims its previous spot,,False
Rhyperior,1,EX,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,4,Miss,Red,,,False
Rhyperior,1,EX,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,28,Rock Blast,White,Spin again until Rock Blast does not land - damage is multiplied by the number of Rock Blast spins,100x,False
Rhyperior,1,EX,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,4,Miss,Red,,,False
Vaporeon,3,R,Water,None,8,Miss,Red,,,True
Vaporeon,3,R,Water,None,20,Dodge,Blue,,,True
Vaporeon,3,R,Water,None,28,Water Slide,Purple,The battle opponent is knocked 1 step back and gains Wait,☆,True
Vaporeon,3,R,Water,None,40,Surf,White,,40,True
Jolteon,3,R,Electric,Thunder Rush - This Pokémon can MP Move past Paralyzed Pokémon.,20,Dodge,Blue,,,True
Jolteon,3,R,Electric,Thunder Rush - This Pokémon can MP Move past Paralyzed Pokémon.,40,Thunder Jolt,White,"If this Pokémon is knocked out when using this move, the battle opponent becomes paralyzed.",40,True
Jolteon,3,R,Electric,Thunder Rush - This Pokémon can MP Move past Paralyzed Pokémon.,28,Quick Attack,Gold,,30,True
Jolteon,3,R,Electric,Thunder Rush - This Pokémon can MP Move past Paralyzed Pokémon.,8,Miss,Red,,,True
Marshtomp,1,R,Water / Ground,"Mud Coating - When this Pokémon is on the field, if there are 3 or more Wster-type Pokémon on the field, your Ground-type  Pokémon with MP1 or lower get +1MP",44,Mud Shot,White,Attach MP-1 marker to the battle opponent.,80,False
Marshtomp,1,R,Water / Ground,"Mud Coating - When this Pokémon is on the field, if there are 3 or more Wster-type Pokémon on the field, your Ground-type  Pokémon with MP1 or lower get +1MP",24,Muddy Water,Purple,The battle opponent and one neighbor Pokémon directly behind it are knocked 1 step back and gain Wait.,☆☆,False
Marshtomp,1,R,Water / Ground,"Mud Coating - When this Pokémon is on the field, if there are 3 or more Wster-type Pokémon on the field, your Ground-type  Pokémon with MP1 or lower get +1MP",16,Protect,Blue,This Pokémon gains Wait,,False
Marshtomp,1,R,Water / Ground,"Mud Coating - When this Pokémon is on the field, if there are 3 or more Wster-type Pokémon on the field, your Ground-type  Pokémon with MP1 or lower get +1MP",12,Miss,Red,,,False
Garchomp,2,EX,Dragon / Ground,"Sand Veil - If this Pokémon is attacked, it can move under the opponent's Pokémon to another space next to it. (A battle does not occur)",8,Miss,Red,,,False
Garchomp,2,EX,Dragon / Ground,"Sand Veil - If this Pokémon is attacked, it can move under the opponent's Pokémon to another space next to it. (A battle does not occur)",20,Fire Fang,White,The battle opponent is now burned. The battle opponent gains Wait,110,False
Garchomp,2,EX,Dragon / Ground,"Sand Veil - If this Pokémon is attacked, it can move under the opponent's Pokémon to another space next to it. (A battle does not occur)",36,Dragon Rush,White,,160,False
Garchomp,2,EX,Dragon / Ground,"Sand Veil - If this Pokémon is attacked, it can move under the opponent's Pokémon to another space next to it. (A battle does not occur)",4,Miss,Red,,,False
Garchomp,2,EX,Dragon / Ground,"Sand Veil - If this Pokémon is attacked, it can move under the opponent's Pokémon to another space next to it. (A battle does not occur)",28,Double Flight,Purple,"This Pokémon jumps over the battle opponent and lands on a surrounding point. If the opposing Pokémon is affected by a special condition, it is knocked out. After moving, this Pokémon may attack an opposing Pokémon again, but just once.",☆☆,False
Empoleon,2,EX,Water / Steel,"Diving Entry - When moving this Pokémon from the bench, it can only move to one space away from the entry point. Your turn ends.",4,Miss,Red,,,False
Empoleon,2,EX,Water / Steel,"Diving Entry - When moving this Pokémon from the bench, it can only move to one space away from the entry point. Your turn ends.",20,Ice Beam,White,"If this Pokémon is knocked out when using this move, the battle opponent becomes frozen",70,False
Empoleon,2,EX,Water / Steel,"Diving Entry - When moving this Pokémon from the bench, it can only move to one space away from the entry point. Your turn ends.",32,Aqua Jet,Gold,,30,False
Empoleon,2,EX,Water / Steel,"Diving Entry - When moving this Pokémon from the bench, it can only move to one space away from the entry point. Your turn ends.",8,Miss,Red,,,False
Empoleon,2,EX,Water / Steel,"Diving Entry - When moving this Pokémon from the bench, it can only move to one space away from the entry point. Your turn ends.",32,Hydro Pump,White,,150,False
Poliwrath,2,R,Water / Fighting,Hypnotic Stare - Any Pokémon that battles this Pokémon will become confused,8,Miss,Red,,,True
Poliwrath,2,R,Water / Fighting,Hypnotic Stare - Any Pokémon that battles this Pokémon will become confused,36,Dynamic Punch,White,,130,True
Poliwrath,2,R,Water / Fighting,Hypnotic Stare - Any Pokémon that battles this Pokémon will become confused,8,R,Red,,,True
Poliwrath,2,R,Water / Fighting,Hypnotic Stare - Any Pokémon that battles this Pokémon will become confused,44,Double Slap,White,"Spin again - if Double Slap is spun, it deals 20+ damage",40+,True
Poochyena,3,UC,Dark,None,24,Crunch,White,,50,False
Poochyena,3,UC,Dark,None,32,Bite,White,,30,False
Poochyena,3,UC,Dark,None,32,Hide,Blue,"If one of your own Pokémon neighbours this Pokémon, the two switch places",,False
Poochyena,3,UC,Dark,None,8,Miss,Red,,,False
Luxio,2,UC,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,4,Dodge,Blue,,,False
Luxio,2,UC,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,20,Bite,White,,50,False
Luxio,2,UC,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,32,Thunder Fang,White,"If this Pokémon is knocked out, the battle opponent becomes Paralyzed.",70,False
Luxio,2,UC,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,20,Bite,White,,50,False
Luxio,2,UC,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,4,Dodge,Blue,,,False
Luxio,2,UC,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,16,Miss,Red,,,False
Hypno,2,R,Psychic,"Spellbind - While this Pokémon is on the field, the Sleep Condition is not removed by the effects of other abilities",24,Psychic,White,,100,True
Hypno,2,R,Psychic,"Spellbind - While this Pokémon is on the field, the Sleep Condition is not removed by the effects of other abilities",36,Sleepwalk,Purple,The battle opponent falls asleep. You may move one Pokémon that is asleep to a point within its MP range. The moved Pokémon gains Wait.,☆☆,True
Hypno,2,R,Psychic,"Spellbind - While this Pokémon is on the field, the Sleep Condition is not removed by the effects of other abilities",24,Psybeam,White,"If this Pokémon is knocked out, the battle opponent becomes confused.",40,True
